Channel:C2
Time Base:10ns
Amplitude:50mV
Sample Rate:80.00GSa/s
Record Length:3125
Horizontal Scale:0.01:11
Horizontal Position:0:5000
Vertical Scale:50:6
Vertical Position:-1.9047607421875001:-38.09521484375
Sample Interval:1.25E-11
Probe Ratio:1:1
X-axis(μs), Y-axis(mV)
-5.000000E-002,28.8047607421875
-4.999125E-002,75.80476074218751
-4.998250E-002,67.90476074218749
-4.997375E-002,59.5047607421875
-4.996500E-002,11.0047607421875
-4.995625E-002,-42.6952392578125
-4.994750E-002,-67.6952392578125
-4.993875E-002,-89.89523925781249
-4.993000E-002,-54.6952392578125
-4.992125E-002,-18.9952392578125
-4.991250E-002,28.3047607421875
-4.990375E-002,75.7047607421875
-4.989499E-002,68.0047607421875
-4.988624E-002,61.0047607421875
-4.987749E-002,11.0047607421875
-4.986874E-002,-44.795239257812504
-4.985999E-002,-65.1952392578125
-4.985124E-002,-92.5952392578125
-4.984249E-002,-55.3952392578125
-4.983374E-002,-16.5952392578125
-4.982499E-002,29.204760742187503
-4.981624E-002,78.3047607421875
-4.980749E-002,69.5047607421875
-4.979874E-002,60.904760742187506
-4.978999E-002,9.1047607421875
-4.978124E-002,-40.9952392578125
-4.977249E-002,-66.2952392578125
-4.976374E-002,-93.4952392578125
-4.975499E-002,-54.8952392578125
-4.974624E-002,-15.495239257812498
-4.973749E-002,30.004760742187496
-4.972874E-002,76.10476074218751
-4.971999E-002,68.0047607421875
-4.971124E-002,60.0047607421875
-4.970249E-002,8.804760742187499
-4.969373E-002,-44.6952392578125
-4.968498E-002,-67.5952392578125
-4.967623E-002,-93.1952392578125
-4.966748E-002,-55.3952392578125
-4.965873E-002,-17.0952392578125
-4.964998E-002,32.0047607421875
-4.964123E-002,76.0047607421875
-4.963248E-002,68.7047607421875
-4.962373E-002,58.9047607421875
-4.961498E-002,8.904760742187499
-4.960623E-002,-42.9952392578125
-4.959748E-002,-65.6952392578125
-4.958873E-002,-93.3952392578125
-4.957998E-002,-55.0952392578125
-4.957123E-002,-16.5952392578125
-4.956248E-002,29.3047607421875
-4.955373E-002,75.30476074218751
-4.954498E-002,70.9047607421875
-4.953623E-002,62.6047607421875
-4.952748E-002,9.6047607421875
-4.951873E-002,-44.5952392578125
-4.950998E-002,-63.7952392578125
-4.950123E-002,-91.4952392578125
-4.949247E-002,-55.5952392578125
-4.948372E-002,-14.995239257812502
-4.947497E-002,29.404760742187502
-4.946622E-002,76.5047607421875
-4.945747E-002,70.1047607421875
-4.944872E-002,61.804760742187504
-4.943997E-002,9.4047607421875
-4.943122E-002,-45.195239257812496
-4.942247E-002,-65.3952392578125
-4.941372E-002,-90.3952392578125
-4.940497E-002,-54.9952392578125
-4.939622E-002,-18.6952392578125
-4.938747E-002,30.804760742187497
-4.937872E-002,77.0047607421875
-4.936997E-002,66.5047607421875
-4.936122E-002,59.1047607421875
-4.935247E-002,11.6047607421875
-4.934372E-002,-41.9952392578125
-4.933497E-002,-66.7952392578125
-4.932622E-002,-92.0952392578125
-4.931747E-002,-53.4952392578125
-4.930872E-002,-16.3952392578125
-4.929996E-002,28.8047607421875
-4.929121E-002,78.6047607421875
-4.928246E-002,67.5047607421875
-4.927371E-002,58.3047607421875
-4.926496E-002,8.804760742187499
-4.925621E-002,-42.3952392578125
-4.924746E-002,-65.5952392578125
-4.923871E-002,-92.8952392578125
-4.922996E-002,-55.1952392578125
-4.922121E-002,-17.2952392578125
-4.921246E-002,29.404760742187502
-4.920371E-002,76.0047607421875
-4.919496E-002,69.8047607421875
-4.918621E-002,59.6047607421875
-4.917746E-002,9.2047607421875
-4.916871E-002,-40.2952392578125
-4.915996E-002,-67.6952392578125
-4.915121E-002,-91.8952392578125
-4.914246E-002,-54.0952392578125
-4.913371E-002,-15.9952392578125
-4.912496E-002,30.504760742187496
-4.911621E-002,77.6047607421875
-4.910746E-002,68.40476074218749
-4.909870E-002,57.8047607421875
-4.908995E-002,12.304760742187499
-4.908120E-002,-42.4952392578125
-4.907245E-002,-66.8952392578125
-4.906370E-002,-89.89523925781249
-4.905495E-002,-54.3952392578125
